epoch,dataset,model_name,fraction,fraction_percent,run_dir,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,train_epoch_time_sec,val_epoch_time_sec,epoch_time_sec,lr,train_weighted_f1,val_weighted_f1
1,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,2.0869154069158764,1.9808618426322937,0.24666666666666667,0.286,0.23334812721269568,0.2542007016098931,2.5040784000011627,0.15470069998991676,2.659032399998978,0.0001999229036240723,,
2,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.9117113649845123,1.8025354146957397,0.33444444444444443,0.402,0.325388585863539,0.3853954740646881,2.1528036999807227,0.07138929999200627,2.2244176999956835,0.0001996917333733128,,
3,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.8233989046679602,1.7221591174602509,0.39155555555555555,0.442,0.38434178703145294,0.42382149974150785,2.894276599981822,0.10465459999977611,2.999198300007265,0.00019930684569549264,,
4,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.763991008202235,1.7031903564929962,0.41888888888888887,0.448,0.4085184426358978,0.41852193439643515,2.243698599981144,0.06314449998899363,2.3071177000238094,0.00019876883405951377,,
5,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.706989798280928,1.63397216796875,0.44,0.494,0.43368710603309013,0.47420253257109407,2.395667600008892,0.0831049999978859,2.479026100016199,0.00019807852804032305,,
6,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.6689756280846066,1.587063878774643,0.468,0.498,0.4600244608250428,0.48339553023342186,3.0409133000066504,0.06251819999306463,3.103750999987824,0.00019723699203976766,,
7,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.6236570609940424,1.5778663754463196,0.48088888888888887,0.502,0.47454021988016953,0.49654937458586385,2.080299399996875,0.0705417999997735,2.1510512999957427,0.00019624552364536473,,
8,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.5946142971515656,1.6096844375133514,0.49333333333333335,0.518,0.48764051047561807,0.5101475649636183,2.3454950000159442,0.07885220000753179,2.424570399976801,0.00019510565162951537,,
9,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.572873271173901,1.5580041408538818,0.5093333333333333,0.522,0.5037219299269453,0.5010693835931528,2.8834677999839187,0.06865089997882023,2.9523673999938183,0.00019381913359224842,,
10,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.5508630110157862,1.4929945766925812,0.526,0.548,0.5223846740368938,0.5479831530080536,2.1662386000098195,0.07403379998868331,2.2405049999943003,0.00019238795325112867,,
11,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.538871404197481,1.5345247983932495,0.5306666666666666,0.534,0.5247069176563068,0.5333051877117713,2.4032975000154693,0.0759066000173334,2.4795173999737017,0.0001908143173825081,,
12,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.502131809790929,1.4880665242671967,0.5466666666666666,0.544,0.5428416278197545,0.5308329016602882,2.982712899975013,0.06468080001650378,3.047697399975732,0.00018910065241883677,,
13,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.497764852311876,1.4828853607177734,0.5548888888888889,0.578,0.5497849750805929,0.5623442105604473,2.118964799999958,0.07447550000506453,2.193676700000651,0.00018724960070727972,,
14,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.482267416185803,1.5605160295963287,0.5644444444444444,0.518,0.5603114108980063,0.5129544184966871,2.753950599988457,0.1118721000093501,2.8661130999971647,0.00018526401643540922,,
15,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4721585280365415,1.4478448033332825,0.5577777777777778,0.594,0.5533746930814364,0.5887577933753748,2.921962500025984,0.06500919998507015,2.9872062999929767,0.00018314696123025454,,
16,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4497743878099654,1.4637324512004852,0.5848888888888889,0.574,0.5795285149347638,0.5738922494901952,2.163136299990583,0.07162030000472441,2.2349923999863677,0.00018090169943749476,,
17,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4420095086097717,1.4717951714992523,0.5882222222222222,0.582,0.584918727498166,0.5890516813852787,2.3857830000051763,0.08128680000663735,2.4672847000183538,0.00017853169308807448,,
18,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4274042546749115,1.4891597926616669,0.5942222222222222,0.552,0.5918830898060292,0.5481045666120122,2.8832662999921013,0.06436210000538267,2.94788689998677,0.0001760405965600031,,
19,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4208065933651395,1.4284072816371918,0.5915555555555555,0.566,0.5885481451547921,0.5562993922638431,2.1942726999986917,0.09509219997562468,2.2895744999987073,0.00017343225094356858,,
20,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.4099665416611566,1.4876749217510223,0.5962222222222222,0.536,0.5932987670499159,0.5307817730756514,2.4663813000079244,0.08363060001283884,2.550287699996261,0.00017071067811865476,,
21,CIFAR-10,cnn,0.1,10,01_cifar_vit_cnn/outputs/unified_runs/cnn_fraction_010,1.3928193615542517,1.430748611688614,0.6097777777777778,0.598,0.6071398726632141,0.596160726931467,2.9515687999955844,0.07248460000846535,3.0243438000034075,0.0001678800745532942,,
